subject,professor,room,weekday,start_time,end_tim
미적분학및연습1,송윤애,501-142(학림관 J104 강의실),월,12:00,13:30
미적분학및연습1,송윤애,501-142(학림관 J104 강의실),월,12:00,13:30
미적분학및연습1,송윤애,501-142(학림관 J104 강의실),수,11:00,12:30
미적분학및연습1,송윤애,501-142(학림관 J104 강의실),수,11:00,12:30
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),월,12:00,13:30
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),월,12:00,13:30
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),수,11:00,12:30
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),수,11:00,12:30
미적분학및연습1,엄건애,102-356(학술/문화관 K356 356 강의실),월,12:00,13:30
미적분학및연습1,엄건애,102-356(학술/문화관 K356 356 강의실),월,12:00,13:30
미적분학및연습1,엄건애,102-356(학술/문화관 K356 356 강의실),수,11:00,12:30
미적분학및연습1,엄건애,102-356(학술/문화관 K356 356 강의실),수,11:00,12:30
미적분학및연습1,심호진,102-352(학술/문화관 K352 352 강의실),월,16:30,18:00
미적분학및연습1,심호진,102-352(학술/문화관 K352 352 강의실),월,16:30,18:00
미적분학및연습1,심호진,102-352(학술/문화관 K352 352 강의실),수,14:00,15:30
미적분학및연습1,심호진,102-352(학술/문화관 K352 352 강의실),수,14:00,15:30
미적분학및연습1,박장희,501-231(학림관 J201 강의실),화,12:00,13:30
미적분학및연습1,박장희,501-231(학림관 J201 강의실),화,12:00,13:30
미적분학및연습1,박장희,501-231(학림관 J201 강의실),목,12:00,13:30
미적분학및연습1,박장희,501-231(학림관 J201 강의실),목,12:00,13:30
미적분학및연습1,최광호,501-304(학림관 J311 강의실),화,12:00,13:30
미적분학및연습1,최광호,501-304(학림관 J311 강의실),화,12:00,13:30
미적분학및연습1,최광호,501-304(학림관 J311 강의실),목,12:00,13:30
미적분학및연습1,최광호,501-304(학림관 J311 강의실),목,12:00,13:30
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),화,12:00,13:30
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),화,12:00,13:30
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),목,12:00,13:30
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),목,12:00,13:30
미적분학및연습1,박호,407-B122(정보문화관P P205 강의실),화,14:00,15:30
미적분학및연습1,박호,407-B122(정보문화관P P205 강의실),화,14:00,15:30
미적분학및연습1,박호,407-B122(정보문화관P P205 강의실),금,14:00,15:30
미적분학및연습1,박호,407-B122(정보문화관P P205 강의실),금,14:00,15:30
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),화,16:00,17:30
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),화,16:00,17:30
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),목,16:30,18:00
미적분학및연습1,임영빈,407-B105(정보문화관P P202 강의실),목,16:30,18:00
미적분학및연습1,송윤애,501-231(학림관 J201 강의실),수,12:30,14:00
미적분학및연습1,송윤애,501-231(학림관 J201 강의실),수,12:30,14:00
미적분학및연습1,송윤애,501-231(학림관 J201 강의실),금,12:00,13:30
미적분학및연습1,송윤애,501-231(학림관 J201 강의실),금,12:00,13:30
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),수,12:30,14:00
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),수,12:30,14:00
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),금,12:00,13:30
미적분학및연습1,조영덕,102-352(학술/문화관 K352 352 강의실),금,12:00,13:30
미적분학및연습1,엄건애,407-B105(정보문화관P P202 강의실),수,12:30,14:00
미적분학및연습1,엄건애,407-B105(정보문화관P P202 강의실),수,12:30,14:00
미적분학및연습1,엄건애,407-B105(정보문화관P P202 강의실),금,12:00,13:30
미적분학및연습1,엄건애,407-B105(정보문화관P P202 강의실),금,12:00,13:30
